a,p,id
1,0.22455766467481592,1
2,0.21360585813584945,1
3,0.18385226590864495,1
4,0.14318428865910485,1
5,0.10090026285291742,1
6,0.06433684810105682,1
7,0.0371191323123829,1
8,0.01937788626071286,1
9,0.009153465332380406,1
10,0.003912327762134401,1
1,0.1765784909751972,2
2,0.1856318638039194,2
3,0.1765784909751972,2
4,0.1519825156474523,2
5,0.11836410219939791,2
6,0.08340977307016427,2
7,0.05318441942992041,2
8,0.03068474070528885,2
9,0.01601883929620288,2
10,0.007566763897259659,2
1,0.13280358594769465,3
2,0.1542957537111403,3
3,0.16220666617007543,3
4,0.1542957537111403,3
5,0.13280358594769465,3
6,0.10342753673075522,3
7,0.07288415328310796,3
8,0.046472987940426126,3
9,0.026812581580043498,3
10,0.013997394977921917,3
1,0.09493728213205667,4
2,0.12190188324881572,4
3,0.1416297822115394,4
4,0.14889129642502252,4
5,0.1416297822115394,4
6,0.12190188324881572,4
7,0.09493728213205667,4
8,0.06690117198872556,4
9,0.04265807063650143,4
10,0.024611565764926905,4
1,0.06418674002814592,5
2,0.09108531982393375,5
3,0.11695586574106272,5
4,0.13588332970589836,5
5,0.14285021699914452,5
6,0.13588332970589836,5
7,0.11695586574106272,5
8,0.09108531982393375,5
9,0.06418674002814592,5
10,0.040927272402773975,5
1,0.040927272402773975,6
2,0.06418674002814592,6
3,0.09108531982393375,6
4,0.11695586574106272,6
5,0.13588332970589836,6
6,0.14285021699914452,6
7,0.13588332970589836,6
8,0.11695586574106272,6
9,0.09108531982393375,6
10,0.06418674002814592,6
1,0.024611565764926905,7
2,0.04265807063650143,7
3,0.06690117198872556,7
4,0.09493728213205667,7
5,0.12190188324881572,7
6,0.1416297822115394,7
7,0.14889129642502252,7
8,0.1416297822115394,7
9,0.12190188324881572,7
10,0.09493728213205667,7
1,0.013997394977921917,8
2,0.026812581580043498,8
3,0.046472987940426126,8
4,0.07288415328310796,8
5,0.10342753673075522,8
6,0.13280358594769465,8
7,0.1542957537111403,8
8,0.16220666617007543,8
9,0.1542957537111403,8
10,0.13280358594769465,8
1,0.007566763897259659,9
2,0.01601883929620288,9
3,0.03068474070528885,9
4,0.05318441942992041,9
5,0.08340977307016427,9
6,0.11836410219939791,9
7,0.1519825156474523,9
8,0.1765784909751972,9
9,0.1856318638039194,9
10,0.1765784909751972,9
1,0.003912327762134401,10
2,0.009153465332380406,10
3,0.01937788626071286,10
4,0.0371191323123829,10
5,0.06433684810105682,10
6,0.10090026285291742,10
7,0.14318428865910485,10
8,0.18385226590864495,10
9,0.21360585813584945,10
10,0.22455766467481592,10
